Periodo Abonado	Fecha	Bruto
octubre 2023	30/10/2023	$240,000
noviembre 2023	30/11/2023	$260,000
diciembre 2023	30/12/2023	$260,000
enero 2024	30/01/2024	$360,000
febrero 2024	29/02/2024	$360,000
marzo 2024	30/03/2024	$525,000
abril 2024	30/04/2024	$525,000
mayo 2024	30/05/2024	$725,000
junio 2024	30/06/2024	$725,000
julio 2024	30/07/2024	$884,500
agosto 2024	30/08/2024	$884,500
octubre 2024	01/10/2024	$884,500
noviembre 2024	01/11/2024	$955,260
diciembre 2024	02/12/2024	$1,528,416
enero 2025	02/01/2025	$1,528,417
febrero 2025	03/02/2025	$1,528,417
marzo 2025	05/03/2025	$1,528,416
abril 2025	01/04/2025	$1,528,417
mayo 2025	05/05/2025	$1,834,100
junio 2025	02/06/2025	$1,834,099
julio 2025	01/07/2025	$1,834,099
agosto 2025	01/08/2025	$2,200,919
septiembre 2025	01/09/2025	$2,200,919
octubre 2025	01/10/2025	$2,200,919
noviembre 2025	03/11/2025	$2,200,919
diciembre 2025	01/12/2025	$2,421,011
enero 2026	02/01/2026	$2,421,011
febrero 2026	01/02/2026	$2,421,011
marzo 2026	02/03/2026	$2,421,011
abril 2026	01/04/2026	$2,421,011
